author,score,date,content,text_length,days_since_release,tfidf_mean,tfidf_max,tfidf_nnz
Josh,10.0,2025-07-07,Instant classic. Absolute cinema!,33,1137,0.0019903051035548413,0.5652171645875396,4
Winderson N,10.0,2025-07-06,It was an amazing experience watching TOP GUN Maverick. This movie is a masterpiece of cinema!,94,1136,0.0032990855486875834,0.4250598625956384,12
Maxwell D,6.0,2025-07-06,"As somebody who hasn't watched the first Top Gun, this made no sense. Still, the execution is great.",100,1136,0.0021133574539392496,0.6340737885056686,5
Millie R,10.0,2025-07-06,"Tom Cruise is getting even better at his craft. This movie was extremely well written, well acted, beautiful and could serve as a stand alone if you were unable to see Top Gun the original. Some movies are almost too good for us mere humans and this is one of them. I would like to see one more if the Gods allow it.",316,1136,0.004632592929070061,0.2684439059703362,24
Joe M,10.0,2025-07-21,"The original movie was great, but this sequel stands very well on its own, and those new to pilot Maverick can watch the original movie to understand some of the backstory, but not needed in order to watch this movie.

The pacing is spot on and this is a movie that is VERY rewatchable from start to finish.",309,1151,0.005496664948072598,0.3143609010105952,32
Kirill D,10.0,2025-07-20,Yes Yes Yes Yes Yes Yes,23,1150,0.0014139862130525967,0.7196717233394295,2
David F,5.0,2025-07-16,"I guess I can’t understand why so many people loved this movie.  There was some excellent cinematography, but the plot seemed very predictable, and I felt like I had seen this type of movie so many times before. It certainly had some cool moments, but also had some cringey over the top emotional scenes.  It all just felt pretty basic to me.",342,1146,0.00564480231801707,0.3240239806482057,34
Shawn V,9.0,2025-07-14,"All around great aerial combat flick. Somewhat unrealistic, but still great action scenes, in my opinion.",105,1144,0.003259313098611526,0.3732391894737701,11
Sharon D,10.0,2025-07-12,Top Class It surpasses Top Gun by Miles and that takes some doing,65,1142,0.0021725822390386753,0.556836197955121,5
Vince S,10.0,2025-07-12,"Prefect second installment to Top Gun. Cruise was great,  action was great.  Great story.",89,1142,0.0031430961974596005,0.46758260399591256,11
Daryl D,10.0,2025-07-11,It's time to let go.,20,1141,0.0013693321218139363,0.8613929265560136,2
Matt T,9.0,2025-07-10,Actually couldn't stand the first top gun so was very reluctant to watch this one. I thought this one was an amazing roller coaster  adrenaline pumping from start to finish. Fantastic,183,1140,0.004266515939495808,0.28583005756896956,19
Craig W.,10.0,2025-07-10,"Should have won the Oscar for best picture strictly because it saved Hollywood by bringing people back to the theaters after Covid.  Also, the movie was excellent in the theaters",178,1140,0.0037043892682991648,0.41792640062223146,15
Maximilian L,9.0,2025-07-09,Absolutely loved it! Worth owning!!,35,1139,0.002179984258856539,0.5983263680586962,5
Eric S.,10.0,2025-07-09,A great movie wish they had more like them ! Wish they would build more woman Characters like Phoenix actually focus on a great character and story line instead of I’ve had it harder and respect me moor because I’m a woman !,224,1139,0.004708074236938906,0.41753727187682305,25
Michael S.,4.0,2025-07-09,"“Top Gun Maverick” is a very overrated film. Some of the plane scenes were cool, but the whole entire mission didn’t make sense due to several factors. The movie focuses on a daring, low-altitude attack against a heavily defended uranium enrichment plant, which experts and veterans point out would likely be handled with different tactics in reality. This movie is very overlooked,because of the nostalgia people feel from watching the first one. The high action plane scenes were another reason this film was overlooked.",522,1139,0.006455650601245582,0.3064739021068843,46
Lore O,2.0,2025-07-08,Absolutely horrific that this is so popular. The entire movie is just a rip-off of the Death Star trench run from Star Wars. Other than that it's just a rehash of the original. It's completely pathetic. Tom Cruise doesn't deserve a career. 1 Star solely for Miles Teller and Glen Powell. Feel bad for anyone that has to work with that hack.,340,1138,0.005998255938414146,0.3861450014899043,40
Sujan A,10.0,2025-07-08,"A movie you can watch over and over again. Nothing can beat the original but with today's modern cameras and film, Mr Cruise has given us a peak of what its like to fly in the cockpit. Bravo and well done! Making Movies Great Again.",232,1138,0.004881917874721108,0.24362931147250722,26
Alex B,10.0,2025-07-08,"This might be my favorite movie of all time. It hits on every beat you'd want in an infinitely rewatchable movie: action, suspense, humor and heart.",148,1138,0.004156079669755826,0.28952594187358527,18
Patryk S,10.0,2025-07-08,"Perfect movie, one of a few when second movie is better than first one.",71,1138,0.0025881284255200357,0.46938037837372776,7
Josh,10.0,2025-07-07,Instant classic. Absolute cinema!,33,1137,0.0019903051035548413,0.5652171645875396,4
Winderson N,10.0,2025-07-06,It was an amazing experience watching TOP GUN Maverick. This movie is a masterpiece of cinema!,94,1136,0.0032990855486875834,0.4250598625956384,12
Maxwell D,6.0,2025-07-06,"As somebody who hasn't watched the first Top Gun, this made no sense. Still, the execution is great.",100,1136,0.0021133574539392496,0.6340737885056686,5
Millie R,10.0,2025-07-06,"Tom Cruise is getting even better at his craft. This movie was extremely well written, well acted, beautiful and could serve as a stand alone if you were unable to see Top Gun the original. Some movies are almost too good for us mere humans and this is one of them. I would like to see one more if the Gods allow it.",316,1136,0.004632592929070061,0.2684439059703362,24
Christopher Z,1.0,2025-07-06,"I cannot honestly believe this movie was loved by so many. I'm not some contrarian, I absolutely love movies both serious cinema and B movies.
But Top Gun: Maverick was so incredibly stupid. It was literally the first movie redone the exact same way with an even more moronic plot than the original. You need to fly low in order to destroy some facility? That's utter nonsense. And then the behind enemy lines stealing of a jet? What is this an Owen Wilson movie? Seriously this movie was so bad I was laughing at how idiotic it was.",534,1136,0.0052382604029583765,0.2665424484497858,29
martin p,10.0,2025-07-06,Could be the best movie ever made.   Not kidding.,49,1136,0.0016467852865831556,0.7762296162803936,3
Ryan N,10.0,2025-07-05,"This blew me away!  I was worried it wasn't going to be as good as the 1st but it knocked it out of the park.  The story was perfect for the character Maverick!  His past struggles and how he gets thru them in this movie is perfect!  I thought having Gooses son was not going to work but it as well was perfect.  

The real life action of the fighter planes were amazing!!  I absolutely loved this movie.  

I am a huge Tom Cruise fan since the original Top Gun movie.  

Jennifer Connelly was perfect in this movie, and I loved how they brought a past character from the 1st movie (only mentioned by name).  

Miles Teller and Glen Powell were great as well and I am becoming big fans of theirs now.",708,1135,0.006715022272291788,0.33750578288748395,53
B F.,10.0,2025-07-05,Tom’s really got this action genre figured out I guess.,55,1135,0.0023454061161223543,0.5293864094998343,6
M J,10.0,2025-07-05,Definitely worth your while.,28,1135,0.0014140096513436964,0.7190121766169838,2
Sarah F,10.0,2025-07-04,Perfect sequel. Amazing,23,1134,0.0021500527354116087,0.6002822690516127,5
Patrick H.,10.0,2025-07-03,It’s an exceptional movie,25,1133,0.0012564473873308527,0.9527772188617621,2
Tina P.,10.0,2025-07-02,I really liked this one because it dealt with his repercussions from the first movie. I also like that I didn’t have to sob my eyes out.,136,1132,0.0027083775470522235,0.45320248001043056,8
Rodolfo U,9.0,2025-07-02,a love letter to the movies and a very good sequel,50,1132,0.002334043645221383,0.5616297096717097,6
Brian B.,10.0,2025-07-01,It defied my wildest expectations!!! So nice to have a movie made to entertain and not preach.  Loved it!,105,1131,0.0018701605815779562,0.6774335040254746,4
Scott N.,10.0,2025-07-01,Amazing sequel to one of my favorite movies!,44,1131,0.0023526075392013134,0.5481785970702241,6
Paige  H,8.0,2025-07-01,What a great sequel!,20,1131,0.00165072276083275,0.7951073890299515,3
AJ L,10.0,2025-07-01,"A proper banger of a film. It has everyone one could want. Loved the first watch, couple of years later it's still EPIC",119,1131,0.003237994407193648,0.3746122302580207,11
Pedro M,10.0,2025-06-29,What a breathtaking experience. Amazing!!!,42,1129,0.0016971730266492294,0.7101780187086579,3
Ed,10.0,2025-06-28,Awesome! Great experience!,26,1128,0.0016848532995090131,0.6667992507475032,3
TROYS S,10.0,2025-06-27,"'Top Gun: Maverick' is fantastic, simply put. I was expecting it to be good, but it's actually much more enjoyable than I had anticipated.",138,1127,0.0032041168940371034,0.4079555788163532,11
Matt M,10.0,2025-06-21,"TC still got it. Perfect combo of action with a splash of comedy, and romance. Recommend seeing on big screen if possible to really appreciate the sound effects. 10/10",167,1121,0.00426686108474392,0.3405672537927955,19
James N,4.0,2025-06-20,"The flight scenes are incredible, as expected. The movie, as a whole, is garbage. The casting, the story line, the sets..... just bad. It's like ""Bring It On"" meets ""Fast and Furious"". The original Top Gun was filmed on navy bases, in real bars, in real barracks, etc. This is a hodge podge of bad sets, CGI back grounds, and ridiculous hollywood movie tricks. Bummer.",368,1120,0.004706661765823978,0.43013143287524097,26
Jack G,10.0,2025-06-20,Absolute CINEMA and the definition of a perfect Blockbuster,59,1120,0.002418302770699724,0.5127919213751427,6
Joe M,10.0,2025-07-21,"The original movie was great, but this sequel stands very well on its own, and those new to pilot Maverick can watch the original movie to understand some of the backstory, but not needed in order to watch this movie.

The pacing is spot on and this is a movie that is VERY rewatchable from start to finish.",309,1151,0.005496664948072598,0.3143609010105952,32
Kirill D,10.0,2025-07-20,Yes Yes Yes Yes Yes Yes,23,1150,0.0014139862130525967,0.7196717233394295,2
David F,5.0,2025-07-16,"I guess I can’t understand why so many people loved this movie.  There was some excellent cinematography, but the plot seemed very predictable, and I felt like I had seen this type of movie so many times before. It certainly had some cool moments, but also had some cringey over the top emotional scenes.  It all just felt pretty basic to me.",342,1146,0.00564480231801707,0.3240239806482057,34
Shawn V,9.0,2025-07-14,"All around great aerial combat flick. Somewhat unrealistic, but still great action scenes, in my opinion.",105,1144,0.003259313098611526,0.3732391894737701,11
Sharon D,10.0,2025-07-12,Top Class It surpasses Top Gun by Miles and that takes some doing,65,1142,0.0021725822390386753,0.556836197955121,5
Vince S,10.0,2025-07-12,"Prefect second installment to Top Gun. Cruise was great,  action was great.  Great story.",89,1142,0.0031430961974596005,0.46758260399591256,11
Daryl D,10.0,2025-07-11,It's time to let go.,20,1141,0.0013693321218139363,0.8613929265560136,2
Matt T,9.0,2025-07-10,Actually couldn't stand the first top gun so was very reluctant to watch this one. I thought this one was an amazing roller coaster  adrenaline pumping from start to finish. Fantastic,183,1140,0.004266515939495808,0.28583005756896956,19
Craig W.,10.0,2025-07-10,"Should have won the Oscar for best picture strictly because it saved Hollywood by bringing people back to the theaters after Covid.  Also, the movie was excellent in the theaters",178,1140,0.0037043892682991648,0.41792640062223146,15
Maximilian L,9.0,2025-07-09,Absolutely loved it! Worth owning!!,35,1139,0.002179984258856539,0.5983263680586962,5
Eric S.,10.0,2025-07-09,A great movie wish they had more like them ! Wish they would build more woman Characters like Phoenix actually focus on a great character and story line instead of I’ve had it harder and respect me moor because I’m a woman !,224,1139,0.004708074236938906,0.41753727187682305,25
Michael S.,4.0,2025-07-09,"“Top Gun Maverick” is a very overrated film. Some of the plane scenes were cool, but the whole entire mission didn’t make sense due to several factors. The movie focuses on a daring, low-altitude attack against a heavily defended uranium enrichment plant, which experts and veterans point out would likely be handled with different tactics in reality. This movie is very overlooked,because of the nostalgia people feel from watching the first one. The high action plane scenes were another reason this film was overlooked.",522,1139,0.006455650601245582,0.3064739021068843,46
Lore O,2.0,2025-07-08,Absolutely horrific that this is so popular. The entire movie is just a rip-off of the Death Star trench run from Star Wars. Other than that it's just a rehash of the original. It's completely pathetic. Tom Cruise doesn't deserve a career. 1 Star solely for Miles Teller and Glen Powell. Feel bad for anyone that has to work with that hack.,340,1138,0.005998255938414146,0.3861450014899043,40
Sujan A,10.0,2025-07-08,"A movie you can watch over and over again. Nothing can beat the original but with today's modern cameras and film, Mr Cruise has given us a peak of what its like to fly in the cockpit. Bravo and well done! Making Movies Great Again.",232,1138,0.004881917874721108,0.24362931147250722,26
Alex B,10.0,2025-07-08,"This might be my favorite movie of all time. It hits on every beat you'd want in an infinitely rewatchable movie: action, suspense, humor and heart.",148,1138,0.004156079669755826,0.28952594187358527,18
Patryk S,10.0,2025-07-08,"Perfect movie, one of a few when second movie is better than first one.",71,1138,0.0025881284255200357,0.46938037837372776,7
Josh,10.0,2025-07-07,Instant classic. Absolute cinema!,33,1137,0.0019903051035548413,0.5652171645875396,4
Winderson N,10.0,2025-07-06,It was an amazing experience watching TOP GUN Maverick. This movie is a masterpiece of cinema!,94,1136,0.0032990855486875834,0.4250598625956384,12
Maxwell D,6.0,2025-07-06,"As somebody who hasn't watched the first Top Gun, this made no sense. Still, the execution is great.",100,1136,0.0021133574539392496,0.6340737885056686,5
Millie R,10.0,2025-07-06,"Tom Cruise is getting even better at his craft. This movie was extremely well written, well acted, beautiful and could serve as a stand alone if you were unable to see Top Gun the original. Some movies are almost too good for us mere humans and this is one of them. I would like to see one more if the Gods allow it.",316,1136,0.004632592929070061,0.2684439059703362,24
Christopher Z,1.0,2025-07-06,"I cannot honestly believe this movie was loved by so many. I'm not some contrarian, I absolutely love movies both serious cinema and B movies.
But Top Gun: Maverick was so incredibly stupid. It was literally the first movie redone the exact same way with an even more moronic plot than the original. You need to fly low in order to destroy some facility? That's utter nonsense. And then the behind enemy lines stealing of a jet? What is this an Owen Wilson movie? Seriously this movie was so bad I was laughing at how idiotic it was.",534,1136,0.0052382604029583765,0.2665424484497858,29
martin p,10.0,2025-07-06,Could be the best movie ever made.   Not kidding.,49,1136,0.0016467852865831556,0.7762296162803936,3
Ryan N,10.0,2025-07-05,"This blew me away!  I was worried it wasn't going to be as good as the 1st but it knocked it out of the park.  The story was perfect for the character Maverick!  His past struggles and how he gets thru them in this movie is perfect!  I thought having Gooses son was not going to work but it as well was perfect.  

The real life action of the fighter planes were amazing!!  I absolutely loved this movie.  

I am a huge Tom Cruise fan since the original Top Gun movie.  

Jennifer Connelly was perfect in this movie, and I loved how they brought a past character from the 1st movie (only mentioned by name).  

Miles Teller and Glen Powell were great as well and I am becoming big fans of theirs now.",708,1135,0.006715022272291788,0.33750578288748395,53
B F.,10.0,2025-07-05,Tom’s really got this action genre figured out I guess.,55,1135,0.0023454061161223543,0.5293864094998343,6
M J,10.0,2025-07-05,Definitely worth your while.,28,1135,0.0014140096513436964,0.7190121766169838,2
Sarah F,10.0,2025-07-04,Perfect sequel. Amazing,23,1134,0.0021500527354116087,0.6002822690516127,5
Patrick H.,10.0,2025-07-03,It’s an exceptional movie,25,1133,0.0012564473873308527,0.9527772188617621,2
Tina P.,10.0,2025-07-02,I really liked this one because it dealt with his repercussions from the first movie. I also like that I didn’t have to sob my eyes out.,136,1132,0.0027083775470522235,0.45320248001043056,8
Rodolfo U,9.0,2025-07-02,a love letter to the movies and a very good sequel,50,1132,0.002334043645221383,0.5616297096717097,6
Brian B.,10.0,2025-07-01,It defied my wildest expectations!!! So nice to have a movie made to entertain and not preach.  Loved it!,105,1131,0.0018701605815779562,0.6774335040254746,4
Scott N.,10.0,2025-07-01,Amazing sequel to one of my favorite movies!,44,1131,0.0023526075392013134,0.5481785970702241,6
Paige  H,8.0,2025-07-01,What a great sequel!,20,1131,0.00165072276083275,0.7951073890299515,3
AJ L,10.0,2025-07-01,"A proper banger of a film. It has everyone one could want. Loved the first watch, couple of years later it's still EPIC",119,1131,0.003237994407193648,0.3746122302580207,11
Pedro M,10.0,2025-06-29,What a breathtaking experience. Amazing!!!,42,1129,0.0016971730266492294,0.7101780187086579,3
Ed,10.0,2025-06-28,Awesome! Great experience!,26,1128,0.0016848532995090131,0.6667992507475032,3
TROYS S,10.0,2025-06-27,"'Top Gun: Maverick' is fantastic, simply put. I was expecting it to be good, but it's actually much more enjoyable than I had anticipated.",138,1127,0.0032041168940371034,0.4079555788163532,11
Matt M,10.0,2025-06-21,"TC still got it. Perfect combo of action with a splash of comedy, and romance. Recommend seeing on big screen if possible to really appreciate the sound effects. 10/10",167,1121,0.00426686108474392,0.3405672537927955,19
James N,4.0,2025-06-20,"The flight scenes are incredible, as expected. The movie, as a whole, is garbage. The casting, the story line, the sets..... just bad. It's like ""Bring It On"" meets ""Fast and Furious"". The original Top Gun was filmed on navy bases, in real bars, in real barracks, etc. This is a hodge podge of bad sets, CGI back grounds, and ridiculous hollywood movie tricks. Bummer.",368,1120,0.004706661765823978,0.43013143287524097,26
Jack G,10.0,2025-06-20,Absolute CINEMA and the definition of a perfect Blockbuster,59,1120,0.002418302770699724,0.5127919213751427,6
Sergio A,10.0,2025-06-19,"I went in without having seen the first film, and wow, what a surprise. It delivers action, romance, friendship, fatherhood, and personal growth. One of the best surprises a blockbuster has ever delivered.",205,1119,0.0038868063883326386,0.3139897580152869,16
Casper F,10.0,2025-06-10,"must watch, absolute cinema",27,1110,0.001974461339718892,0.6041816018315818,4
Craig H,10.0,2025-06-05,"Saw this in the cinema three times three years ago and wanted to see how it held up and f***ing hell its still an unbelievable film, probably my favourite movie of the last 5 years and in my top 10 of all time easily. Pretty much movie blockbuster perfection, cant fault it.",274,1105,0.004548186955019379,0.34253571652882914,22
Robert M,10.0,2025-06-04,"I thought there was no way this sequel could stand up to the original, and boy was I wrong. Not only does is stand up to one of my all-time favorites, but dare I say that it surpasses the first film! Well done!!!",212,1104,0.0031779390549042776,0.5964281763766496,12
Orpheus K,10.0,2025-06-04,Simply the Best action movie ever made,38,1104,0.002284340443239515,0.6128452590478535,6
Moustafa B,10.0,2025-05-29,"I love it, I watch it at least once every month",47,1098,0.001674829051038188,0.7643949821517332,3
S.K.M v,10.0,2025-05-28,"Awesome movie, while  watching this movie goosebumps comes entirely . I  appreciate to the director and say one line "" you are awesome Man""",139,1097,0.0028889109410087273,0.5432071032525215,9
Roshith B,10.0,2025-05-27,"No matter some people say that Christopher nolan movies are the best but it's not top gun maverick >> whole Christopher nolan filmography 

Tom Cruise he's the only star on the planet who let audience to big screens after his retirement it's better stop watching scrap lag Hollywood films",290,1096,0.00432654420586327,0.42774289574371555,25
Tommy & Naomi N,10.0,2025-05-27,"Favorite film of all time. Nostalgic, simple, and thoroughly enjoyable.",71,1096,0.0027510280294174043,0.42588353369824034,8
Ben,10.0,2025-05-27,Loved this movie!! Just as good as the first one!,49,1096,0.002511884269434714,0.5116580383330304,7
Steve W,10.0,2025-05-27,Amazing! Perfect in every way! Much better than the original in almost every way! Definitely must see!,102,1096,0.002855271388373338,0.5370702223704934,9
Ozbej M,10.0,2025-05-25,Just a great legacy sequel and also a phenomenal movie. It's easily one of the best movies of 2020s. 10/10,106,1094,0.003777496026869605,0.4091906834483802,16
Rushi G,10.0,2025-05-23,Another word for 'glorious' is Top Gun: Maverick. Period,56,1092,0.002132253802394668,0.6190689941101029,5
unknown,9.0,2025-05-22,"Maverick is the perfect legacy sequel any iconic film can have. It takes you through nostalgia trip of the original without taking it for granted. It has a better screenplay, more heartfelt emotions, higher stakes and bigger action scenes. Add to that the characters are brilliantly crafted and performed flawlessly.",316,1091,0.0047301468374952626,0.26883038439307444,24
Rovo S,10.0,2025-05-21,This movie is a masterpiece!,28,1090,0.0016024416214943042,0.7768547400587876,3
unknown,10.0,2025-05-20,"From the soundtrack to the film, this movie was a delight.",58,1089,0.0018451701059062652,0.725775077009768,4
Brayden G,10.0,2025-05-16,Way better than the first one I saw this in the theaters when it came out so intense in the Theaters it’s so good on the biggest screen possible,144,1085,0.00345318647165908,0.4780385218822292,13
Jose N,8.0,2025-05-16,"Top Gun: Maverick is a good movie. It's a great 2nd movie to Top Gun, but its not a good as Top Gun. It feels ""forced"", ""squeezed"" into a very specific layout.",159,1085,0.00332230799751621,0.45927213610225975,12
Ethan C,10.0,2025-05-16,"Over the last few years, I have watched this film way more times than I could count. This is easily becoming a top 7 film for me. The amount of action, situation and character development, and cinematography is unmatched. Maverick does a fantastic job at showing homage to the original but plussing it up to match the same action packed feeling as the Mission Impossible films. The added characters with BOB, Phoenix, Hangman, Rooster, Payback, Fanboy, and more add to the stakes of the mission. One of the few movies that actually had me on the edge of my seat in the theatres. Would love a re-release. Fingers crossed for a third.",632,1085,0.006490232366068632,0.2548216633563287,44
Stephen T,10.0,2025-05-15,"This was without a doubt the most entertaining film I've seen in years, and a refreshing break from the usual drivel that seems to pump out of Hollywood these days.  Every actor nailed their performance, and there was not a wasted moment in the show.  I am so glad this film was made.",284,1084,0.003956287740686734,0.29086318040654324,16
Joe M,10.0,2025-07-21,"The original movie was great, but this sequel stands very well on its own, and those new to pilot Maverick can watch the original movie to understand some of the backstory, but not needed in order to watch this movie.

The pacing is spot on and this is a movie that is VERY rewatchable from start to finish.",309,1151,0.005496664948072598,0.3143609010105952,32
Kirill D,10.0,2025-07-20,Yes Yes Yes Yes Yes Yes,23,1150,0.0014139862130525967,0.7196717233394295,2
David F,5.0,2025-07-16,"I guess I can’t understand why so many people loved this movie.  There was some excellent cinematography, but the plot seemed very predictable, and I felt like I had seen this type of movie so many times before. It certainly had some cool moments, but also had some cringey over the top emotional scenes.  It all just felt pretty basic to me.",342,1146,0.00564480231801707,0.3240239806482057,34
Shawn V,9.0,2025-07-14,"All around great aerial combat flick. Somewhat unrealistic, but still great action scenes, in my opinion.",105,1144,0.003259313098611526,0.3732391894737701,11
Sharon D,10.0,2025-07-12,Top Class It surpasses Top Gun by Miles and that takes some doing,65,1142,0.0021725822390386753,0.556836197955121,5
Vince S,10.0,2025-07-12,"Prefect second installment to Top Gun. Cruise was great,  action was great.  Great story.",89,1142,0.0031430961974596005,0.46758260399591256,11
Daryl D,10.0,2025-07-11,It's time to let go.,20,1141,0.0013693321218139363,0.8613929265560136,2
Matt T,9.0,2025-07-10,Actually couldn't stand the first top gun so was very reluctant to watch this one. I thought this one was an amazing roller coaster  adrenaline pumping from start to finish. Fantastic,183,1140,0.004266515939495808,0.28583005756896956,19
Craig W.,10.0,2025-07-10,"Should have won the Oscar for best picture strictly because it saved Hollywood by bringing people back to the theaters after Covid.  Also, the movie was excellent in the theaters",178,1140,0.0037043892682991648,0.41792640062223146,15
Maximilian L,9.0,2025-07-09,Absolutely loved it! Worth owning!!,35,1139,0.002179984258856539,0.5983263680586962,5
Eric S.,10.0,2025-07-09,A great movie wish they had more like them ! Wish they would build more woman Characters like Phoenix actually focus on a great character and story line instead of I’ve had it harder and respect me moor because I’m a woman !,224,1139,0.004708074236938906,0.41753727187682305,25
Michael S.,4.0,2025-07-09,"“Top Gun Maverick” is a very overrated film. Some of the plane scenes were cool, but the whole entire mission didn’t make sense due to several factors. The movie focuses on a daring, low-altitude attack against a heavily defended uranium enrichment plant, which experts and veterans point out would likely be handled with different tactics in reality. This movie is very overlooked,because of the nostalgia people feel from watching the first one. The high action plane scenes were another reason this film was overlooked.",522,1139,0.006455650601245582,0.3064739021068843,46
Lore O,2.0,2025-07-08,Absolutely horrific that this is so popular. The entire movie is just a rip-off of the Death Star trench run from Star Wars. Other than that it's just a rehash of the original. It's completely pathetic. Tom Cruise doesn't deserve a career. 1 Star solely for Miles Teller and Glen Powell. Feel bad for anyone that has to work with that hack.,340,1138,0.005998255938414146,0.3861450014899043,40
Sujan A,10.0,2025-07-08,"A movie you can watch over and over again. Nothing can beat the original but with today's modern cameras and film, Mr Cruise has given us a peak of what its like to fly in the cockpit. Bravo and well done! Making Movies Great Again.",232,1138,0.004881917874721108,0.24362931147250722,26
Alex B,10.0,2025-07-08,"This might be my favorite movie of all time. It hits on every beat you'd want in an infinitely rewatchable movie: action, suspense, humor and heart.",148,1138,0.004156079669755826,0.28952594187358527,18
Patryk S,10.0,2025-07-08,"Perfect movie, one of a few when second movie is better than first one.",71,1138,0.0025881284255200357,0.46938037837372776,7
Josh,10.0,2025-07-07,Instant classic. Absolute cinema!,33,1137,0.0019903051035548413,0.5652171645875396,4
Winderson N,10.0,2025-07-06,It was an amazing experience watching TOP GUN Maverick. This movie is a masterpiece of cinema!,94,1136,0.0032990855486875834,0.4250598625956384,12
Maxwell D,6.0,2025-07-06,"As somebody who hasn't watched the first Top Gun, this made no sense. Still, the execution is great.",100,1136,0.0021133574539392496,0.6340737885056686,5
Millie R,10.0,2025-07-06,"Tom Cruise is getting even better at his craft. This movie was extremely well written, well acted, beautiful and could serve as a stand alone if you were unable to see Top Gun the original. Some movies are almost too good for us mere humans and this is one of them. I would like to see one more if the Gods allow it.",316,1136,0.004632592929070061,0.2684439059703362,24
Christopher Z,1.0,2025-07-06,"I cannot honestly believe this movie was loved by so many. I'm not some contrarian, I absolutely love movies both serious cinema and B movies.
But Top Gun: Maverick was so incredibly stupid. It was literally the first movie redone the exact same way with an even more moronic plot than the original. You need to fly low in order to destroy some facility? That's utter nonsense. And then the behind enemy lines stealing of a jet? What is this an Owen Wilson movie? Seriously this movie was so bad I was laughing at how idiotic it was.",534,1136,0.0052382604029583765,0.2665424484497858,29
martin p,10.0,2025-07-06,Could be the best movie ever made.   Not kidding.,49,1136,0.0016467852865831556,0.7762296162803936,3
